  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  6 925  ??        48:29.42 /sbin/launchd
    0   512     1   0  6 925  ??        14:14.54 /usr/libexec/logd
    0   513     1   0  6 925  ??         0:00.26 /usr/libexec/smd
    0   514     1   0  6 925  ??         1:14.87 /usr/libexec/UserEventAgent (System)
    0   516     1   0  6 925  ??         6:43.79 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   517     1   0  6 925  ??         0:26.28 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   520     1   0  6 925  ??         1:00.64 /usr/sbin/systemstats --daemon
  278   522     1   0  6 925  ??         0:21.28 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
    0   523     1   0  6 925  ??         9:05.25 /usr/libexec/configd
    0   524     1   0  6 925  ??         0:00.04 endpointsecurityd
    0   525     1   0  6 925  ??         8:03.61 /System/Library/CoreServices/powerd.bundle/powerd
    0   526     1   0  6 925  ??         0:00.02 /usr/libexec/IOMFB_bics_daemon
    0   528     1   0  6 925  ??         0:20.10 /usr/libexec/amfid
    0   532     1   0  6 925  ??         0:01.14 /usr/libexec/keybagd -t 15
  200   533     1   0  6 925  ??         0:01.87 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  306   534     1   0  6 925  ??         0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
    0   536     1   0  6 925  ??         0:15.20 /usr/libexec/watchdogd
    0   540     1   0  6 925  ??        13:59.99 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  240   541     1   0  6 925  ??         0:00.86 /System/Library/CoreServices/iconservicesd
    0   542     1   0  6 925  ??         0:00.82 /usr/libexec/kernelmanagerd
    0   543     1   0  6 925  ??         0:22.65 /usr/libexec/diskarbitrationd
    0   544     1   0  6 925  ??         0:02.43 /System/Library/CoreServices/Installer Progress.app/Contents/MacOS/Installer Progress --showProgress
    0   546     1   0  6 925  ??         6:44.44 /usr/libexec/coreduetd
    0   547     1   0  6 925  ??         0:38.38 /usr/sbin/syslogd
    0   550     1   0  6 925  ??         1:08.55 /usr/libexec/thermalmonitord
    0   551     1   0  6 925  ??        25:47.89 /usr/libexec/opendirectoryd
    0   553     1   0  6 925  ??         3:41.09 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   554     1   0  6 925  ??        84:17.80 /System/Library/CoreServices/launchservicesd
  266   555     1   0  6 925  ??         0:33.70 /usr/libexec/timed
  213   556     1   0  6 925  ??         0:01.40 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   557     1   0  6 925  ??         0:26.34 /usr/sbin/securityd -i
    0   560     1   0  6 925  ??         0:11.48 /usr/libexec/nesessionmanager
